CUDA Device Number: 0
Queried Chip : GA102 
Total metrics on the chip 6780
Metric Name                                                                     	Num of Passes  	Collection Method
fe__cycles_elapsed.sum                                                          	1              	HW             
fe__cycles_in_frame.avg                                                         	1              	HW             
fe__cycles_in_frame.max                                                         	1              	HW             
fe__cycles_in_frame.min                                                         	1              	HW             
fe__cycles_in_frame.sum                                                         	1              	HW             
fe__cycles_in_region.avg                                                        	1              	HW             
fe__cycles_in_region.max                                                        	1              	HW             
fe__cycles_in_region.min                                                        	1              	HW             
fe__cycles_in_region.sum                                                        	1              	HW             
fe__output_ops_cmd_go_idle.avg                                                  	1              	HW             
fe__output_ops_cmd_go_idle.max                                                  	1              	HW             
fe__output_ops_cmd_go_idle.min                                                  	1              	HW             
fe__output_ops_cmd_go_idle.sum                                                  	1              	HW             
fe__output_ops_type_bundle_cmd_go_idle.avg                                      	1              	HW             
fe__output_ops_type_bundle_cmd_go_idle.max                                      	1              	HW             
fe__output_ops_type_bundle_cmd_go_idle.min                                      	1              	HW             
fe__output_ops_type_bundle_cmd_go_idle.sum                                      	1              	HW             
gpc__cycles_active.avg                                                          	1              	HW             
gpc__cycles_active.max                                                          	1              	HW             
gpc__cycles_active.min                                                          	1              	HW             
gpc__cycles_active.sum                                                          	1              	HW             
gpc__cycles_elapsed.avg                                                         	1              	HW             
gpc__cycles_elapsed.max                                                         	1              	HW             
gpc__cycles_elapsed.min                                                         	1              	HW             
gpc__cycles_elapsed.sum                                                         	1              	HW             
gpc__cycles_in_frame.avg                                                        	1              	HW             
gpc__cycles_in_frame.max                                                        	1              	HW             
gpc__cycles_in_frame.min                                                        	1              	HW             
gpc__cycles_in_frame.sum                                                        	1              	HW             
gpc__cycles_in_region.avg                                                       	1              	HW             
gpc__cycles_in_region.max                                                       	1              	HW             
gpc__cycles_in_region.min                                                       	1              	HW             
gpc__cycles_in_region.sum                                                       	1              	HW             
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed         	3              	HW             
gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed         	3              	HW             
gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed         	3              	HW             
gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed	1              	HW             
gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed	1              	HW             
gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed	1              	HW             
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed        	2              	HW             
gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed        	2              	HW             
gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed        	2              	HW             
gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed	1              	HW             
gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed	1              	HW             
gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed	1              	HW             
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed                	4              	HW             
gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed                	4              	HW             
gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed                	4              	HW             
gpu__cycles_active.avg                                                          	1              	HW             
gpu__cycles_active.max                                                          	1              	HW             
gpu__cycles_active.min                                                          	1              	HW             
gpu__cycles_active.sum                                                          	1              	HW             
gpu__cycles_elapsed.avg                                                         	1              	HW             
gpu__cycles_elapsed.max                                                         	1              	HW             
gpu__cycles_elapsed.min                                                         	1              	HW             
gpu__cycles_elapsed.sum                                                         	1              	HW             
gpu__cycles_in_frame.avg                                                        	1              	HW             
gpu__cycles_in_frame.max                                                        	1              	HW             
gpu__cycles_in_frame.min                                                        	1              	HW             
gpu__cycles_in_frame.sum                                                        	1              	HW             
gpu__cycles_in_region.avg                                                       	1              	HW             
gpu__cycles_in_region.max                                                       	1              	HW             
gpu__cycles_in_region.min                                                       	1              	HW             
gpu__cycles_in_region.sum                                                       	1              	HW             
gpu__dispatch_count.avg                                                         	1              	HW             
gpu__dispatch_count.max                                                         	1              	HW             
gpu__dispatch_count.min                                                         	1              	HW             
gpu__dispatch_count.sum                                                         	1              	HW             
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed                          	1              	HW             
gpu__dram_throughput.max.pct_of_peak_sustained_elapsed                          	1              	HW             
gpu__dram_throughput.min.pct_of_peak_sustained_elapsed                          	1              	HW             
gpu__draw_count.avg                                                             	1              	HW             
gpu__draw_count.max                                                             	1              	HW             
gpu__draw_count.min                                                             	1              	HW             
gpu__draw_count.sum                                                             	1              	HW             
gpu__time_active.avg                                                            	1              	HW             
gpu__time_active.max                                                            	1              	HW             
gpu__time_active.min                                                            	1              	HW             
gpu__time_active.sum                                                            	1              	HW             
gpu__time_duration.avg                                                          	1              	HW             
gpu__time_duration.max                                                          	1              	HW             
gpu__time_duration.min                                                          	1              	HW             
gpu__time_duration.sum                                                          	1              	HW             
gpu__time_end.avg                                                               	1              	HW             
gpu__time_end.max                                                               	1              	HW             
gpu__time_end.min                                                               	1              	HW             
gpu__time_end.sum                                                               	1              	HW             
gpu__time_start.avg                                                             	1              	HW             
gpu__time_start.max                                                             	1              	HW             
gpu__time_start.min                                                             	1              	HW             
gpu__time_start.sum                                                             	1              	HW             
gr__cycles_active.avg                                                           	1              	HW             
gr__cycles_active.max                                                           	1              	HW             
gr__cycles_active.min                                                           	1              	HW             
gr__cycles_active.sum                                                           	1              	HW             
gr__cycles_elapsed.avg                                                          	1              	HW             
gr__cycles_elapsed.max                                                          	1              	HW             
gr__cycles_elapsed.min                                                          	1              	HW             
gr__cycles_elapsed.sum                                                          	1              	HW             
gr__cycles_idle.avg                                                             	1              	HW             
